date,open,high,low,close,Volume ETH,Volume USDT,tradecount
2018-03-23 08-AM,513,525,512.1,520.87,4089.47,2130121.68,NULL
2018-03-23 07-AM,515.92,517.79,511.01,513,3851.64,1979270.17,NULL
2018-03-23 06-AM,519.05,525.59,514,515.92,6991.64,3636200.53,NULL
2018-03-23 05-AM,516.37,519.23,512,519.05,3379.43,1741032.19,NULL
2018-03-23 04-AM,515.2,523.93,514.49,516.37,4014.42,2085236.72,NULL
2018-03-23 03-AM,517.02,518,509.2,515.2,6177.5,3169509.05,NULL
2018-03-23 02-AM,530.57,531.69,512.38,517.02,10158.34,5273444.48,NULL
2018-03-23 01-AM,534.96,534.96,529,530.57,2910.82,1548622.74,NULL
2018-03-23 12-AM,539.92,543,534.01,534.96,1979.43,1065306.68,NULL
2018-03-22 11-PM,538.5,543.94,534.87,539.92,3908.73,2110933.93,NULL
2018-03-22 10-PM,530.7,538.99,530.22,538.5,2235.54,1199328.46,NULL
2018-03-22 09-PM,528.17,533,523.27,530.7,2170.78,1146539.72,NULL
2018-03-22 08-PM,531.64,531.82,525.5,528.17,1393.66,735564.56,NULL
2018-03-22 07-PM,534.52,537.67,526.2,531.64,3307.23,1757008.65,NULL
2018-03-22 06-PM,537.22,538.91,530.5,534.52,2793.35,1494502.21,NULL
2018-03-22 05-PM,530.15,538,525.88,537.22,2760.27,1468469.85,NULL
2018-03-22 04-PM,531.01,538.91,527.08,530.15,6956.68,3709363.37,NULL
2018-03-22 03-PM,517.25,531.66,517.21,531.01,7532.52,3957371.09,NULL
2018-03-22 02-PM,529,532.71,516,517.25,10035.76,5254993.16,NULL
2018-03-22 01-PM,541.33,541.45,526.28,529,5051.31,2696852.89,NULL
2018-03-22 12-PM,535.99,544.65,534.43,541.33,3748.11,2025857.08,NULL
2018-03-22 11-AM,541.05,543.73,535,535.99,4801.84,2592830.3,NULL
2018-03-22 10-AM,547.98,547.98,533.41,541.05,10610.11,5734904.7,NULL
2018-03-22 09-AM,565.99,568.49,543.21,547.98,10612.81,5854152.15,NULL
2018-03-22 08-AM,563.01,566.49,561.12,565.99,1779.09,1004209.62,NULL
2018-03-22 07-AM,566,567.01,557.55,563.01,3297.69,1853081.02,NULL
2018-03-22 06-AM,567.6,571.38,565.39,566,3988.05,2263704.82,NULL
2018-03-22 05-AM,570,573.07,565.71,567.6,2199.96,1251363.46,NULL
2018-03-22 04-AM,569.58,571,565.59,570,2167.36,1232028.26,NULL
2018-03-22 03-AM,573.83,578.6,568,569.58,3933.22,2256378.8,NULL
2018-03-22 02-AM,572.78,577,572.32,573.83,2849.24,1637262.24,NULL
2018-03-22 01-AM,570.72,575.96,565.89,572.78,3129.26,1786808.38,NULL
2018-03-22 12-AM,559.17,571.51,557.93,570.72,3931.63,2224699.42,NULL
2018-03-21 11-PM,554.31,561.06,550.64,559.17,3910.4,2168080.85,NULL
2018-03-21 10-PM,560.51,563.99,554.29,554.31,2916.71,1634311.67,NULL
2018-03-21 09-PM,559.19,565,557.89,560.51,2250.74,1264508.81,NULL
2018-03-21 08-PM,559.3,563,555.9,559.19,2580.26,1441623.35,NULL
2018-03-21 07-PM,558.11,566.5,558.11,559.3,2798.83,1574764.72,NULL
2018-03-21 06-PM,553.18,562.65,547,558.11,5693.4,3174614.61,NULL
2018-03-21 05-PM,556.62,560.77,545.11,553.18,9352.16,5158382.15,NULL
2018-03-21 04-PM,574.73,577.48,556.02,556.53,10949.83,6180094.78,NULL
2018-03-21 03-PM,575.5,584.41,574,574.73,4702.09,2728855.13,NULL
2018-03-21 02-PM,573.13,578.5,571.57,575.5,2950.62,1696882.33,NULL
2018-03-21 01-PM,573.58,578.27,570.73,573.13,2913.38,1672404.67,NULL
2018-03-21 12-PM,579.52,581.44,570,573.58,4003.95,2305053.65,NULL
2018-03-21 11-AM,577.95,583.2,577.26,579.52,2826.79,1641123.2,NULL
2018-03-21 10-AM,575.51,579.49,575.31,577.95,2333.31,1347957.97,NULL
2018-03-21 09-AM,568.98,578.03,567.14,575.51,2825.16,1620528.74,NULL
2018-03-21 08-AM,570.99,576.44,566.24,568.98,5000.22,2859107.6,NULL
2018-03-21 07-AM,583.93,586.43,569.72,570.99,6737.22,3886488.19,NULL
2018-03-21 06-AM,583.91,586.61,576.66,583.93,5255.84,3056826.72,NULL
2018-03-21 05-AM,582.49,590,581.2,583.91,5539.77,3247908.87,NULL
2018-03-21 04-AM,569.98,590.52,569.57,582.49,10338.08,6023182.41,NULL
2018-03-21 03-AM,560.23,572.01,559,569.98,4226.05,2387799.85,NULL
2018-03-21 02-AM,560,563.67,557.99,560.23,3138.34,1759023.76,NULL
2018-03-21 01-AM,558.97,561,554.12,560,2805.44,1567828.49,NULL
2018-03-21 12-AM,557,559,552.9,558.97,4473.52,2487196.97,NULL
2018-03-20 11-PM,561.01,561.48,549.72,557,4664.05,2587772.92,NULL
2018-03-20 10-PM,562.83,565.4,558.5,561.01,3753.99,2111858.65,NULL
2018-03-20 09-PM,558.36,564.28,554.04,562.83,3644.19,2039556.4,NULL
