Open,High,Low,Close,Volume USDT
826.89,836.57,825.76,833.94,1529796.67
818.78,832,813,826.89,1811083.06
808.6,821.49,806.66,818.56,2244897.42
821.02,821.11,805,808.6,3891334.62
818.6,823.63,815,821.02,1487149.96
823,830.49,818.58,818.6,2213103.4
832.82,834.99,822.69,823,1910627.19
830.37,836,824,832.82,2002794.95
834.1,836.57,828,830.37,1883915.32
829.13,839.67,824,834.1,2697596.64
835.26,835.26,821.64,829.13,2540057.17
828.02,838.95,821.16,835.26,2978828.36
827.02,835,819.19,828.1,3016270.79
844.22,844.22,820.26,827.02,6026913.2
839,851.73,838,844.22,2241177.69
846.75,847,834.04,839,3002601.76
847.54,851,831.32,846.75,5051658.8
870.73,871.73,840,847.54,5437998.43
863.38,871.7,861.23,870.73,2339520.71
866.02,873.29,862.77,863.38,2278207.9
871.13,872.28,858.47,866.02,3703362.81
868.92,875,867.52,871.13,3418148.83
866.63,869.75,860,868.92,2922716.97
851.6,868.95,845,866.63,4676521.1
854,859.39,845,851.6,3557434.41
829.89,855,829,854,3123934.1
833.5,842,829.37,829.89,2803603.73
838.73,839.5,823.29,833.16,5192952.91
852,855,830,838.73,3559981.14
846.7,858,845.2,852,3767313.48
841.98,848.44,835.26,846.7,4147331.2
865.1,865.12,840,841.98,8749672.14
869.4,878.15,863.25,865.1,4661986.39
871.14,885,867.07,869.4,8300959.65
870.7,872.58,865.64,871.14,3423211.58
870.32,874.89,859.14,871.12,5323013.67
852.22,875.2,851.85,870.32,6351135.02
855.6,861.45,846.51,852.22,5949786.94
847.49,861.2,845.5,855.6,6498477.47
837.83,849.99,837.78,847.49,5121770.5
829.22,838.8,827.71,837.83,3224615.82
827.37,831.99,813.53,829.22,4703430.52
833,847.86,825.3,827.37,4704962.73
836.07,845.88,826.18,833,8175240.35
813.55,839.5,806.9,836.07,6856527.45
800.5,814.98,794.73,813.55,4774246.31
790.74,802.01,785.99,800.73,4174016.86
801.49,802.02,786.6,790.74,5156216.3
806.45,809.6,800.67,801.49,2650342.5
802.04,807,797.37,806.45,2159401.12
814.41,818.92,797,802.04,4164950.09
811.01,820,803.58,814.41,3001799.3
803.01,811.01,798.72,811.01,2808496.15
795.79,805.1,792,803.01,3079372.66
805.09,807.78,786.6,795.79,4630719.47
809.74,815.39,802.07,805.09,4144810.68
800,818.49,799.67,809.74,6455128.71
797.38,810.5,788.66,800,7728252.23
799.39,806.8,789.01,797.38,9557525.21
827.62,833.89,796.38,799.39,7589888.41
813.33,829.37,812.64,827.62,3770532.59
830,833.88,811.04,813.33,7290146.61
834.1,845,827.27,830,4645127.44
849.74,853.91,834.08,834.1,4038792.89
866,869.25,841.91,849.74,4970122.48
860.73,871.96,860.73,865.99,3356617.51
855.86,868,855.13,860.73,2977950.15
853.31,857,845,855.86,2858859.38
858.14,859.67,849.45,853.31,2777563.81
852.97,861.01,849.01,858.14,4116499.13
842.1,855.5,842.01,852.97,4110908.57
835.89,843.14,827,842.1,2780910.71
839.82,847.87,832,835.89,3852510.82
822.88,841,822.05,839.82,3616235.21
824.28,831.28,820.57,822.88,3593842.88
826.18,835,812.87,824.28,5562504.22
830.82,836.87,823.22,826.18,3915882.2
823,848,823,830.82,6362255.86
827.84,831.5,817.42,823,4961452.19
838,839.79,817.6,827.84,9309214.32
858.98,861.5,831.22,838.01,8876791.15
867.63,871.16,845,858.98,9352294.63
890.19,894.23,866.01,867.63,5667331.33
884.75,893,883.4,890.19,2004583.47
884.28,891.5,881.23,884.75,2564506.52
893.27,893.99,876.26,884.28,4071380.7
882.76,895,879.1,893.27,2833797.39
889.94,890.01,872.76,882.76,4384072.6
891.8,893.81,882,889.94,2842987.35
874.95,893,873,891.8,4997640.98
870.7,879.99,867,874.95,4796148.42
883.06,883.32,864.41,870.7,7792821.51
894.21,901.63,874.01,883.05,6195680.75
892.3,897.03,880,894.21,7740076.64
887.4,908.88,883,892.3,8271729.31
882.99,888.13,856.51,887.4,17696781.9
890.67,897.25,873,882.99,13385920.99
914.48,915.7,887.77,890.67,11785117.31
917.21,918.88,913.05,914.48,2800977.48
922.22,923.61,916.3,917.43,3197428.74
927.96,928.8,920,922.22,3752647.86
931.18,933.99,923,927.96,4809295.03
932.89,936,930.15,931.38,2817955.18
939.91,942,932.1,932.89,3479189.39
941.29,941.29,932.5,939.91,3397227.1
943.39,944.98,936.65,941.29,2959365.47
935.79,946.09,935.1,943.39,2760985.97
936.52,941.46,935.12,935.79,2813673.17
936.58,938.39,930.86,937,2569076.08
938.06,940,931.25,936.58,3038219.58
938.49,939.99,927.1,938.06,6543000.87
950,952.65,937.07,938.49,6047625.8
955.31,961,948.12,950,4420238.63
947.93,956.07,947.5,955.31,3896222.94
946.53,949.46,943.92,947.93,3337967.7
945.06,948.03,942.99,946.53,3776044.44
942.7,948.01,941,945.06,2443379.38
951.59,951.59,940.88,942.7,2667847.31
948.19,953.98,945.5,951.59,4370043.61
938.11,949.83,938.11,948.19,3734659.91
933.77,941.39,933.01,938.11,1631290.62
938,940.38,933,933.77,1849815.84
943,943.33,932.12,938,3103634.88
942.59,945.96,937.9,943,1753111.58
944.62,949.82,941.6,942.59,2265164.67
938.59,947.99,938.03,944.62,2658316.89
944.89,948,936.01,938.59,3522699.13
953.02,956,942.04,944.89,3993506.82
944.22,956.22,943.73,953.03,4983670.9
946.45,948.5,942.01,944.22,2499821.48
944.01,946.66,939.64,946.45,2431109.41
945.31,949.43,943,944.01,2128000.33
944.98,948.32,941.23,945.31,2529940.13
947.14,951,944,944.98,3556670.81
941.1,948.66,936,947.14,3005456.37
944.49,945.99,935.43,941.1,3661487.45
923.4,946.18,922.01,944.49,5243394.4
923.09,926.99,920.5,923.4,1852666
925.46,927.5,916.01,923.09,2767533.48
921.43,929.39,920,925.46,2071424.63
925.9,928,917.1,921.43,2323684.3
929,929.06,912.21,925.9,3083479.22
913,933.5,913,929,2711394.48
911,913.79,906.04,913,1799709.97
917.49,918.55,907.75,911,5799185.87
928.74,929.99,915,917.49,2658020.56
934.5,934.54,918.18,928.74,3658732.89
944.64,945,931.03,934.5,3465479.98
938.13,945.44,932.57,944.64,3241221.28
938.5,941.1,925,938.13,3581371.49
929.4,938.51,926,938.5,4289214.08
933.19,936.96,920,928.64,5542346.84
943.14,948.79,930.2,933.19,5144237.52
939,944,931.72,943.14,4554953.79
929.47,944.49,925.93,939,5734708.76
929.18,930.79,918.02,929.47,4673197.62
921.79,930.15,918.01,929.18,4809790.55
899.89,924.8,897.5,921.79,7156377.39
918.33,925.06,897,899.89,10893046.01
935.23,936.4,915,918.33,6280992.66
923.47,937.99,920,935.23,7571887.05
913.05,935.01,911.57,923.47,10520624.22
952.35,954.69,912.03,913.05,11869698.46
952.2,956.31,948,952.35,5792605.68
965.59,969.79,948,952.2,8622421.26
972.92,978.5,965,965.59,5019346.57
971.12,978,969.02,972.92,4731615.47
969.99,971.12,962.5,971.12,4614054.03
969.01,973,965,969.99,4213702.39
964.47,972,960.58,969.01,2735590.16
960.36,965.69,960.2,964.47,1317450.88
960.35,963.22,956.02,960.36,2362632.43
962.66,964,956,960.35,1814386.77
962.81,965.4,956.86,962.66,3024897.96
966.31,970,961.76,962.81,3078077.06
963.22,969,960.05,966.31,3618503.44
964.49,967.81,958.5,963.22,3941280.34
964.5,967.95,954.26,964.49,5624329.01
971.43,974,959.99,964.5,4858668.96
955.39,973.08,955.07,971.43,6708505.7
952.05,958.1,949,955.39,4314604.27
956.91,960.41,949.55,952.05,5853264.16
965.91,967.5,954.39,956.91,5011868.94
964.57,968.68,960.41,965.91,4425155.97
966.53,967.2,953,964.57,5858134.06
958.5,968.49,957.87,966.53,5271785.7
963.16,963.94,952.69,958.5,3391391.03
956.41,964.76,955.55,963.16,3661422.89
948.96,960,947.35,956.41,3911537.1
947.79,956.75,944.41,948.96,6737455.49
940.86,948.39,939,947.79,4688233.27
938.67,942.8,933.48,940.86,3869426.46
943.02,943.98,937.39,938.67,2714999.67
936,943.96,934,943.02,3252749.56
936.58,938.72,935.52,936,2275912.82
935.63,937.55,928.86,936.58,2976069.7
931.76,937.59,926.57,935.63,3004436.11
936.5,937,920.1,931.76,4890981.82
934.99,938.79,933.2,936.5,3063088.11
931.99,940,930,934.99,5068457.86
930.22,937.98,930.03,931.5,4533431.47
923.06,933.6,922.69,930.22,4485079.31
924.5,929.98,922.33,923.06,3070774.5
921.78,927.3,917.04,924.5,3534206.22
917.2,925.8,913.55,921.78,3863999.07
919.82,922,914.61,917.2,3428259.74
921.4,929,917.19,919.82,3951220.15
902.21,926.68,901.36,921.49,5858325.15
911.76,919.96,902.13,902.21,7064065.36
930.02,932,910.69,911.76,4625221.66
923.15,935.9,920.97,930.02,4324960.78
934.57,935.99,916.45,923.15,5142688
942.24,943.5,928.74,935.01,4656853.73
943,948.48,939.12,942.24,5901142.65
938.64,944,932.6,943,5329077.85
924.55,938.77,923.3,938.64,3940189.52
930.29,934.04,923.32,924.55,3870124
917.97,933,916,930.29,3869118.6
924,930.9,915.2,917.97,5455990.47
925.6,930.99,918.97,924,4651270.73
929.25,930.48,923,925.6,3611351.65
933.44,939.94,918.98,929.25,7139869.59
933.51,935,925.92,933.44,6965370.36
933.98,935.58,927,933.51,4082426.19
937.27,939.13,929.01,933.97,4288854.89
920.9,939,919.12,937.27,5081015.72
921,923,916,920.9,3168191.08
908.5,923.77,908,921,5421895.98
915.21,926,901.05,908.5,8217454.8
915.02,924,895.59,915.21,14884731.53
942.53,946.66,915,915.02,8709816.25
938.71,944.99,935.2,942.53,4705408.58
932.03,939,930,938.71,4773821.75
930.66,935.31,930,932.03,2929523.97
934.8,934.8,925.11,930.66,4344746.24
927.39,935,924,934.8,4246654.47
927.27,932,922.05,927.39,5950036.34
908,929.27,906.66,927.27,7218256.05
905.32,918,904.88,908,4122494.8
919.09,920,902.31,905.32,6719247.19
920,924.99,915.98,919.09,5395281.27
905.32,920.88,902.31,920,5535949.5
904.44,908,901.1,905.32,3678108.68
904.44,911.45,900,904.44,3881982.86
909.18,910,895.16,904.44,7100846.09
912.75,919.95,907.77,909.18,6298530.54
908.81,914.55,906.1,912.75,5290485.88
903.06,918,897.2,908.81,11434648.18
884.94,903.99,884.4,903.06,7493389.35
889,889.96,876.18,884.94,7571294.54
889.3,899.99,885.8,889,9955832.48
874.5,891.99,874.37,889.3,14636844.18
860.19,875,860.03,874.5,3965407.11
857.19,864,857,860.19,2470724.72
865,865.99,856.42,857.19,2980243.32
869.9,870.17,862.4,865,2488564.38
863.33,870,862.99,869.9,2764646.81
869,869.09,859.5,863.33,3841114
861.95,869,859.47,869,3379995.79
853.33,865.19,852.5,861.95,4459324.38
848.57,855,846,853.33,2872548.88
848.98,851.72,847.42,848.57,3054655.03
846.8,849.74,844.59,848.98,2275463.48
841.4,848.48,841.3,846.8,1965742.5
842.53,843.12,835,841.4,1725392.16
841.55,844,833.64,842.53,2731351.22
850.96,851.58,839.45,841.55,2212222.25
843.27,852.53,843.27,850.96,3212862.03
840.33,846.57,837.75,843.27,2787846.02
844.53,848,840.01,840.3,2145868.83
841,846.43,839.16,844.53,2430051.94
836.26,843.37,835.62,841,2300070.03
848.52,850.6,834.56,836.01,4178402.96
844.37,853,843.38,848.52,3910989.58
842.97,848.99,840.47,844.37,3320569.84
834.91,842.98,829.17,842.97,2994046.68
832.52,838.87,822.93,835.2,4647731.43
826.28,837.99,821.12,832.52,4246718.46
835.57,840.04,820,826.28,5892323.42
842.55,843.74,828.88,835.57,5775310.67
848.02,851.99,841.31,842.55,2716170.52
841.4,849.4,837.79,848.02,2983142.61
842.3,848,836.82,841.4,4610720.84
855.93,862.66,840.05,842.3,4478233.4
850,856.91,847,855.93,3856817.01
850.7,852.99,843.01,850,5029158.86
865.44,865.71,848,850.7,4594250.03
866.66,871,858.16,865.44,4020915.7
868.5,877.32,859.03,866.66,6408785.74
